RPM,Efficiency,Power,Torque,Current
0,0.0,0.0,7.157265551,374.3825832
100,1.6681064163618142,73.71498579045664,7.0392626211,368.256810374
200,3.335775105468398,144.9585239964072,6.9212596912,362.131037548
300,5.002983471437125,213.7306146178517,6.8032567613,356.005264722
400,6.669707335929158,280.03125765479007,6.6852538314,349.879491896
500,8.335920797150724,343.86045310722244,6.5672509015,343.75371907
600,10.001596073505075,405.2182009751487,6.4492479716,337.627946244
700,11.666703329909673,464.1045012585689,6.3312450417,331.502173418
800,13.331210484494104,520.5193539574828,6.2132421118,325.376400592
900,14.99508299304356,574.4627590718911,6.0952391819,319.250627766
1000,16.658283608140184,625.934716601793,5.977236252,313.12485494
1100,18.32077210946841,674.9352265471888,5.8592333221,306.999082114
1200,19.982505001174307,721.4642889080787,5.7412303922,300.873309288
1300,21.64343517148606,765.5219036844625,5.6232274623,294.74753646199997
1400,23.303511508988787,807.10807087634,5.5052245324,288.62176363599997
1500,24.962678468974005,846.2227904837117,5.3872216025,282.49599080999997
1600,26.620875582117687,882.8660625065771,5.2692186726,276.370217984
1700,28.278036896336108,917.0378869449365,5.1512157427,270.244445158
1800,29.93409034097041,948.7382637987901,5.0332128128,264.118672332
1900,31.588957000390653,977.9671930681371,4.915209882899999,257.992899506
2000,33.242550281597886,1004.7246747529783,4.797206953,251.86712668
2100,34.89477495732736,1029.0107088533136,4.6792040231000005,245.741353854
2200,36.5455260623734,1050.8252953691424,4.561201093199999,239.615581028
2300,38.19468761618017,1070.1684343004656,4.4431981633,233.489808202
2400,39.84213113893193,1087.0401256472824,4.3251952334,227.364035376
2500,41.48771392111957,1101.4403694095931,4.207192303499999,221.23826255
2600,43.13127699744081,1113.3691655873981,4.0891893736,215.112489724
2700,44.77264276436899,1122.8265141806964,3.9711864436999997,208.986716898
2800,46.41161216606965,1129.8124151894892,3.8531835138,202.860944072
2900,48.04796135458157,1134.3268686137756,3.7351805838999996,196.735171246
3000,49.68143770599093,1136.3698744535563,3.617177654,190.60939842
3100,51.311755042908224,1135.9414327088307,3.4991747241,184.48362559400002
3200,52.93858787242974,1133.0415433795986,3.3811717941999997,178.35785276800001
3300,54.56156439446944,1127.670206465861,3.2631688643,172.232079942
3400,56.18025796303186,1119.827421967617,3.1451659343999996,166.106307116
3500,57.794176585760425,1109.5131898848674,3.0271630045,159.98053429
3600,59.4027499150138,1096.7275102176113,2.9091600746,153.854761464
3700,61.00531300235189,1081.470382965849,2.7911571446999996,147.728988638
3800,62.601085836323875,1063.7418081295807,2.6731542147999994,141.603215812
3900,64.18914732891761,1043.5417857088069,2.5551512849,135.477442986
4000,65.76840191038723,1020.8703157035264,2.4371483549999997,129.35167016
4100,67.33753616030698,995.7273981137399,2.3191454250999994,123.225897334
4200,68.8949618262581,968.1130329394477,2.2011424952,117.10012450800002
4300,70.43873997033951,938.0272201806491,2.0831395652999998,110.97435168200002
4400,71.96647852526172,905.4699598373443,1.9651366353999995,104.84857885600002
4500,73.47519171043272,870.4412519095339,1.8471337055000001,98.72280603000002
4600,74.96110364592433,832.941096397217,1.7291307755999998,92.59703320400001
4700,76.41936849249213,792.969493300394,1.6111278456999996,86.47126037800001
4800,77.84366256757941,750.5264426190649,1.4931249157999993,80.34548755200001
4900,79.22557447148276,705.6119443532303,1.3751219859,74.219714726
5000,80.55366602576935,658.2259985028891,1.2571190559999996,68.0939419
5100,81.81197623432973,608.3686050680418,1.1391161260999993,61.968169074
5200,82.97754057378395,556.0397640486889,1.0211131962,55.842396248
5300,84.01607633833312,501.2394754448295,0.9031102662999997,49.716623422
5400,84.87402998302652,443.9677392564639,0.7851073363999994,43.590850595999996
5500,85.46282261451735,384.22455548359284,0.6671044065,37.46507776999999
5600,85.62461864358849,322.0099241262152,0.5491014765999997,31.33930494399999
5700,85.04819421969158,257.3238451843314,0.4310985466999995,25.21353211799999
5800,83.02280523904639,190.16631865794156,0.3130956167999992,19.087759291999987
5900,77.49413053779884,120.53734454704617,0.1950926868999998,12.961986465999985
6000,59.04453035258016,48.43692285164418,0.07708975699999954,6.836213639999983
6065.328680453382,0.0,0.0,0.0,2.8343270852023466