RPM,Efficiency %,Power (W),Torque (Nm),Current (A),RPM^2,Power Fit (W),Torque Fit (Nm),Current Fit (A)
0.0,0.0,0.0,7.157265551,374.3825832,0.0,0.0,7.157265551000002,374.38258320000006
100.0,1.6681064163618142,73.71498579045664,7.0392626211,368.256810374,10000.0,73.7149857904566,7.039262621100002,368.25681037400005
200.0,3.335775105468398,144.9585239964072,6.9212596912,362.131037548,40000.0,144.9585239964071,6.921259691200001,362.13103754800005
300.0,5.002983471437125,213.7306146178517,6.8032567613,356.005264722,90000.0,213.73061461785153,6.803256761300002,356.00526472200005
400.0,6.669707335929158,280.03125765479007,6.6852538314,349.879491896,160000.0,280.03125765478995,6.685253831400002,349.87949189600005
500.0,8.335920797150724,343.86045310722244,6.5672509015,343.75371907,250000.0,343.86045310722216,6.567250901500001,343.75371907000005
600.0,10.001596073505077,405.2182009751487,6.4492479716,337.627946244,360000.0,405.2182009751484,6.449247971600001,337.62794624400004
700.0,11.666703329909671,464.1045012585689,6.3312450417,331.502173418,490000.0,464.1045012585686,6.331245041700001,331.50217341800004
800.0,13.331210484494104,520.5193539574828,6.2132421118,325.376400592,640000.0,520.5193539574827,6.213242111800001,325.37640059200004
900.0,14.99508299304356,574.4627590718911,6.0952391819,319.250627766,810000.0,574.4627590718906,6.095239181900001,319.25062776600004
1000.0,16.658283608140184,625.934716601793,5.977236252,313.12485494,1000000.0,625.9347166017925,5.977236252000001,313.12485494000003
1100.0,18.32077210946841,674.9352265471888,5.8592333221,306.999082114,1210000.0,674.9352265471883,5.859233322100001,306.99908211400003
1200.0,19.982505001174307,721.4642889080787,5.7412303922,300.873309288,1440000.0,721.4642889080781,5.7412303922,300.87330928800003
1300.0,21.64343517148606,765.5219036844625,5.6232274623,294.747536462,1690000.0,765.5219036844619,5.623227462300001,294.747536462
1400.0,23.303511508988787,807.10807087634,5.5052245324,288.621763636,1960000.0,807.1080708763394,5.505224532400001,288.621763636
1500.0,24.962678468974005,846.2227904837117,5.3872216025,282.49599081,2250000.0,846.2227904837109,5.3872216025,282.49599081
1600.0,26.620875582117687,882.8660625065771,5.2692186726,276.370217984,2560000.0,882.8660625065766,5.2692186726,276.370217984
1700.0,28.278036896336108,917.0378869449364,5.1512157427,270.244445158,2890000.0,917.0378869449358,5.1512157427,270.244445158
1800.0,29.93409034097041,948.73826379879,5.0332128128,264.118672332,3240000.0,948.7382637987891,5.0332128128,264.118672332
1900.0,31.588957000390653,977.9671930681372,4.915209882899999,257.992899506,3610000.0,977.9671930681363,4.9152098829,257.992899506
2000.0,33.242550281597886,1004.7246747529784,4.797206953,251.86712668,4000000.0,1004.7246747529774,4.797206953,251.86712667999998
2100.0,34.89477495732736,1029.0107088533136,4.6792040231000005,245.741353854,4410000.0,1029.0107088533127,4.6792040231000005,245.74135385399998
2200.0,36.5455260623734,1050.8252953691424,4.561201093199999,239.615581028,4840000.0,1050.8252953691417,4.561201093199999,239.61558102799998
2300.0,38.19468761618017,1070.1684343004656,4.4431981633,233.489808202,5290000.0,1070.1684343004645,4.4431981633,233.48980820199998
2400.0,39.84213113893193,1087.0401256472824,4.3251952334,227.364035376,5760000.0,1087.0401256472815,4.3251952334,227.36403537599998
2500.0,41.48771392111957,1101.4403694095931,4.207192303499999,221.23826255,6250000.0,1101.4403694095922,4.207192303499999,221.23826254999997
2600.0,43.13127699744081,1113.369165587398,4.0891893736,215.112489724,6760000.0,1113.369165587397,4.0891893736,215.11248972399997
2700.0,44.77264276436899,1122.8265141806964,3.9711864437,208.986716898,7290000.0,1122.8265141806955,3.9711864436999993,208.98671689799997
2800.0,46.41161216606965,1129.8124151894892,3.8531835138,202.860944072,7840000.0,1129.812415189488,3.853183513799999,202.86094407199997
2900.0,48.04796135458157,1134.3268686137756,3.7351805839,196.735171246,8410000.0,1134.3268686137746,3.735180583899999,196.73517124599996
3000.0,49.68143770599093,1136.3698744535563,3.617177654,190.60939842,9000000.0,1136.3698744535548,3.617177653999999,190.60939841999996
3100.0,51.311755042908224,1135.9414327088307,3.4991747241,184.483625594,9610000.0,1135.9414327088293,3.499174724099999,184.48362559399996
3200.0,52.93858787242974,1133.0415433795986,3.3811717942,178.357852768,10240000.0,1133.041543379598,3.381171794199999,178.35785276799996
3300.0,54.56156439446944,1127.670206465861,3.2631688643,172.232079942,10890000.0,1127.6702064658598,3.2631688642999985,172.23207994199996
3400.0,56.18025796303186,1119.827421967617,3.1451659344,166.106307116,11560000.0,1119.827421967616,3.1451659343999987,166.10630711599995
3500.0,57.794176585760425,1109.5131898848674,3.0271630045,159.98053429,12250000.0,1109.5131898848658,3.0271630044999984,159.98053428999995
3600.0,59.4027499150138,1096.727510217611,2.9091600746,153.854761464,12960000.0,1096.72751021761,2.909160074599998,153.85476146399995
3700.0,61.00531300235189,1081.470382965849,2.7911571447,147.728988638,13690000.0,1081.4703829658479,2.7911571446999988,147.72898863799995
3800.0,62.60108583632388,1063.7418081295807,2.6731542148,141.603215812,14440000.0,1063.7418081295796,2.6731542147999985,141.60321581199995
3900.0,64.18914732891761,1043.5417857088069,2.5551512849,135.477442986,15210000.0,1043.5417857088053,2.555151284899998,135.47744298599991
4000.0,65.76840191038723,1020.8703157035264,2.437148355,129.35167016,16000000.0,1020.8703157035247,2.437148354999998,129.3516701599999
4100.0,67.33753616030698,995.72739811374,2.3191454250999994,123.225897334,16810000.0,995.7273981137387,2.3191454250999977,123.22589733399991
4200.0,68.8949618262581,968.1130329394476,2.2011424952,117.10012450800002,17640000.0,968.1130329394464,2.2011424951999983,117.10012450799991
4300.0,70.43873997033951,938.0272201806492,2.0831395653,110.97435168200002,18490000.0,938.0272201806474,2.083139565299998,110.9743516819999
4400.0,71.96647852526172,905.4699598373444,1.9651366353999995,104.84857885600002,19360000.0,905.4699598373427,1.9651366353999977,104.8485788559999
4500.0,73.47519171043272,870.4412519095339,1.8471337055,98.72280603000002,20250000.0,870.4412519095322,1.8471337054999974,98.7228060299999
4600.0,74.96110364592433,832.941096397217,1.7291307755999998,92.597033204,21160000.0,832.9410963972155,1.7291307755999972,92.5970332039999
4700.0,76.41936849249213,792.969493300394,1.6111278456999996,86.47126037800001,22090000.0,792.9694933003925,1.6111278456999978,86.4712603779999
4800.0,77.84366256757941,750.5264426190649,1.4931249157999993,80.34548755200001,23040000.0,750.5264426190633,1.4931249157999975,80.3454875519999
4900.0,79.22557447148276,705.6119443532303,1.3751219859,74.219714726,24010000.0,705.6119443532284,1.3751219858999972,74.21971472599989
5000.0,80.55366602576935,658.2259985028891,1.2571190559999996,68.0939419,25000000.0,658.2259985028877,1.257119055999997,68.09394189999989
5100.0,81.81197623432973,608.3686050680418,1.1391161260999991,61.968169074,26010000.0,608.3686050680403,1.1391161260999967,61.96816907399989
5200.0,82.97754057378395,556.0397640486889,1.0211131962,55.842396248,27040000.0,556.0397640486872,1.0211131961999973,55.842396247999886
5300.0,84.01607633833312,501.2394754448295,0.9031102662999996,49.716623422,28090000.0,501.23947544482735,0.903110266299997,49.716623421999884
5400.0,84.87402998302652,443.9677392564639,0.7851073363999994,43.590850596,29160000.0,443.9677392564622,0.7851073363999967,43.59085059599988
5500.0,85.46282261451735,384.2245554835928,0.6671044065,37.46507776999999,30250000.0,384.22455548359085,0.6671044064999965,37.46507776999988
5600.0,85.62461864358849,322.0099241262152,0.5491014765999997,31.33930494399999,31360000.0,322.00992412621326,0.5491014765999962,31.339304943999878
5700.0,85.04819421969158,257.3238451843314,0.4310985466999995,25.21353211799999,32490000.0,257.323845184329,0.4310985466999968,25.213532117999875
5800.0,83.02280523904639,190.1663186579416,0.3130956167999992,19.087759291999987,33640000.0,190.16631865793988,0.31309561679999653,19.087759291999873
5900.0,77.49413053779884,120.53734454704616,0.1950926868999998,12.961986465999985,34810000.0,120.53734454704409,0.19509268689999626,12.961986465999871
6000.0,59.04453035258016,48.43692285164418,0.0770897569999995,6.836213639999983,36000000.0,48.43692285164161,0.07708975699999598,6.836213639999869
6065.328680453382,0.0,0.0,0.0,2.8343270852023466,36788212.00193036,-1.8189894035458565e-12,-2.6645352591003757e-15,2.834327085202233
